,公司名稱,company_code
0,成運汽車製造股份有限公司,i9Um
1,穩懋半導體股份有限公司,Yxep
2,TOYOTA 製造商_國瑞汽車股份有限公司,kchg
3,裕融企業股份有限公司,NmC3
4,緯創資通股份有限公司,wcWn
5,中華賓士汽車股份有限公司,cUN9
6,美商科磊股份有限公司,wf9Q
7,ASUS_華碩電腦股份有限公司,iCka
8,裕隆集團_納智捷汽車股份有限公司,aQUw
9,交通部臺灣鐵路管理局,eXGu
10,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,HYto
11,汎德永業汽車股份有限公司,nYCR
12,台灣電力股份有限公司,8ijc
13,LUXGEN納智捷汽車_中智捷汽車股份有限公司,tjzM
14,裕隆集團_格上汽車租賃股份有限公司,J7Va
15,臺灣塑膠工業股份有限公司,W81V
16,華德動能科技股份有限公司,gWc5
17,Luxgen_北智捷汽車股份有限公司,xmWa
18,華邦電子股份有限公司,6lU8
19,中華電信股份有限公司,528F
20,和泰汽車股份有限公司,2bnH
21,台灣大哥大股份有限公司,olVI
22,國泰世華商業銀行股份有限公司,U3dQ
23,全聯福利中心_全聯實業股份有限公司,VjhE
24,Quanta Computer_廣達電腦股份有限公司,xOGz
25,日月光半導體製造股份有限公司中壢分公司,pjeC
26,鴻華先進科技股份有限公司,6b50C
27,台灣本田汽車股份有限公司,mU04
28,中華汽車工業股份有限公司,lwNQ
29,COSTCO_好市多股份有限公司,ZOC7
30,台新國際商業銀行股份有限公司,KDQa
31,三陽工業股份有限公司,W139
32,上銀科技股份有限公司,4iHv
33,Phison Electronics Corp_群聯電子股份有限公司,rpo3
34,匯豐汽車股份有限公司,jT7Q
35,陽明資訊股份有限公司,xpVu
36,聯詠科技股份有限公司,s6XL
37,捷安特 YouBike_巨大機械工業股份有限公司,l8Yc
38,元大金融控股股份有限公司 (元大金控) (元大證券) (元大銀行),Dfrt
39,裕隆集團_裕隆日產汽車股份有限公司,AfWZ
40,裕隆集團_裕隆汽車製造股份有限公司,0U2N
41,聯發科通訊股份有限公司,48Gz
42,IBM_台灣國際商業機器股份有限公司,MbYr
43,台北富邦商業銀行股份有限公司,9WIp
44,TSMC_台灣積體電路製造股份有限公司（台積電）,KYRX
45,(ASML)台灣艾司摩爾科技股份有限公司,C7yj
46,MTK_聯發科技股份有限公司,JZmq
47,中國鋼鐵股份有限公司,cyYa
48,台新金融控股股份有限公司,nTAL
49,台灣日立江森自控股份有限公司（原：台灣日立）,BR91
50,漢翔航空工業股份有限公司,k5Eh
51,NCSIST 中科院_國家中山科學研究院,sFhw
52,LITEON_光寶科技股份有限公司,CUac
53,Corning_台灣康寧顯示玻璃股份有限公司,UDCP
54,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,MGal
55,Unimicron_欣興電子股份有限公司,OTVU
56,鴻海精密工業股份有限公司,3Nan
57,PChome Online_ 網路家庭國際資訊股份有限公司,LAQY
58,聯電_聯華電子股份有限公司,L4z2
59,美商蘋果亞洲股份有限公司,HaRb
60,台灣中油股份有限公司,W3DS
61,日月光半導體製造股份有限公司（高雄廠）,QpfM
62,力積電子股份有限公司,2NWa
63,大立光電股份有限公司,U9fO
64,緯創軟體股份有限公司,ayUp
65,長春石油化學股份有限公司,hKDs
66,為升電裝工業股份有限公司,YFgq
67,台達電子工業股份有限公司_DELTA ELECTRONICS INC.,ZWBD
68,COMPAL_仁寶電腦工業股份有限公司,KQr0
69,寶成工業股份有限公司,hdAT
70,華映科技有限公司,s78h
71,中國信託金融控股股份有限公司,MqlG
72,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,xrbe
73,友達光電股份有限公司,2Iqp
74,奧美廣告股份有限公司,xhjc
75,強淞企業股份有限公司,29cg
76,Qisda_佳世達科技股份有限公司,gutG
77,日立家電 (台灣)股份有限公司,clxK
